dataset,subject,trial,speed_mps,k,n_strides,n_points,n_boot,n_boot_success,within_fid_mean,within_fid_q10,notes
vanhooren,Sub_13,0.0,2.78,3,82,200,100,100,0.9574339894715028,0.957132993534662,
vanhooren,Sub_13,0.0,3.0,4,82,200,100,100,0.9782837153898872,0.9780023292942795,
vanhooren,Sub_13,0.0,3.33,4,82,200,100,100,0.9747836012868814,0.9744736475106308,
vanhooren,Sub_13,0.0,4.0,3,82,200,100,100,0.9512509229289792,0.9508441233521862,
vanhooren,Sub_13,0.0,5.0,4,82,200,100,100,0.9714743729773696,0.9709306869331998,
vanhooren,Sub_14,0.0,2.78,3,30,200,100,100,0.9182671845240116,0.9168479523072176,
vanhooren,Sub_14,0.0,3.0,3,30,200,100,100,0.9397910172842028,0.938640070435521,
vanhooren,Sub_14,0.0,3.33,3,30,200,100,100,0.9365842821800752,0.9354116501745554,
vanhooren,Sub_14,0.0,4.0,3,30,200,100,100,0.931143634791026,0.9300149113528235,
vanhooren,Sub_14,0.0,5.0,3,30,200,100,100,0.9263482826710564,0.923470085500321,
vanhooren,Sub_15,0.0,2.78,4,86,200,100,100,0.9849437467672972,0.9847831178031023,
vanhooren,Sub_15,0.0,3.0,4,86,200,100,100,0.987028932277567,0.9869137106427454,
vanhooren,Sub_15,0.0,3.33,4,86,200,100,100,0.9853911077874308,0.985176744382936,
vanhooren,Sub_15,0.0,4.0,4,86,200,100,100,0.9841497628651088,0.983932145833086,
vanhooren,Sub_15,0.0,5.0,3,86,200,100,100,0.9314070160151126,0.9311198666491616,
vanhooren,Sub_16,0.0,2.78,3,40,200,100,100,0.9421827591132984,0.9412015881390936,
vanhooren,Sub_16,0.0,3.0,3,40,200,100,100,0.9436234034292202,0.9427985100183144,
vanhooren,Sub_16,0.0,3.33,2,40,200,100,100,0.9169009937621522,0.9160548393081622,
vanhooren,Sub_16,0.0,4.0,2,40,200,100,100,0.9063861225586471,0.9056482792975314,
vanhooren,Sub_16,0.0,5.0,3,40,200,100,100,0.9267760766383968,0.9248945136748048,
vanhooren,Sub_17,0.0,2.78,4,34,200,100,100,0.963632778181863,0.9626039254279616,
vanhooren,Sub_17,0.0,3.0,4,34,200,100,100,0.9696212739893189,0.968817891651564,
vanhooren,Sub_17,0.0,3.33,3,34,200,100,100,0.936518943514387,0.9357051291107464,
vanhooren,Sub_17,0.0,4.0,3,34,200,100,100,0.9301510587279436,0.9287482632362088,
vanhooren,Sub_17,0.0,5.0,3,34,200,100,100,0.919027172645242,0.9176220383447168,
vanhooren,Sub_18,0.0,2.78,4,61,200,100,100,0.9736862067841306,0.973211736688578,
vanhooren,Sub_18,0.0,3.0,4,61,200,100,100,0.9730878215381444,0.9725864688414316,
vanhooren,Sub_18,0.0,3.33,3,61,200,100,100,0.9279426483834198,0.9270142643148046,
vanhooren,Sub_18,0.0,4.0,4,61,200,100,100,0.9677851483733952,0.967292970768574,
vanhooren,Sub_18,0.0,5.0,3,61,200,100,100,0.9294774041625236,0.9287461853955064,
vanhooren,Sub_19,0.0,2.78,5,56,200,100,100,0.967912737450021,0.9675299318397872,
vanhooren,Sub_19,0.0,3.0,4,56,200,100,100,0.9293308184168524,0.9282202833492452,
vanhooren,Sub_19,0.0,3.33,5,56,200,100,100,0.9821329343987928,0.9817455031809792,
vanhooren,Sub_19,0.0,4.0,5,56,200,100,100,0.9750202804774516,0.974400946921043,
vanhooren,Sub_19,0.0,5.0,3,56,200,100,100,0.9051064972700033,0.9040095379304696,
